Player,height,weight,collage,born,birth_city,birth_state
Cazzie Russell,196,98,University of Michigan,1944,Chicago,Illinois
Casper Ware,178,79,"California State University, Long Beach",1990,Cerritos,California
Casey Shaw,211,117,University of Toledo,1975,Lebanon,Ohio
Casey Jacobsen,198,97,Stanford University,1981,Glendora,California
Cartier Martin,201,99,Kansas State University,1984,Crockett,Texas
Carrick Felix,198,91,Arizona State University,1990,Las Vegas,Arizona
Caron Butler,201,103,University of Connecticut,1980,Racine,Wisconsin
Carmelo Anthony,203,108,Syracuse University,1984,New York,New York
Carlton McKinney,193,86,Southern Methodist University,1964,San Diego,California
Carlos Terry,196,95,Winston-Salem State University,1956,Lexington,North Carolina
Carlos Rogers,211,99,Tennessee State University,1971,Detroit,Michigan
Carlos Delfino,198,104,,1982,Santa Fe,Argentina
Carlos Clark,193,95,University of Mississippi,1960,Somerville,Tennessee
Carlos Boozer,206,117,Duke University,1981,Aschaffenburg,Germany
Carlos Arroyo,188,91,Florida International University,1979,Fajardo,Puerto Rico
Carldell Johnson,178,81,University of Alabama at Birmingham,1983,New Orleans,Louisiana
Carl Thomas,193,79,Eastern Michigan University,1969,Dayton,Ohio
Carl Shaeffer,190,83,University of Alabama,1924,Delphi,Indiana
Carl Nicks,185,79,Indiana State University,1958,Chicago,Illinois
Carl McNulty,190,83,Purdue University,1930,,
Carl Landry,206,112,Purdue University,1983,Milwaukee,Wisconsin
Carl Kilpatrick,208,104,University of Louisiana at Monroe,1956,Bastrop,Louisiana
Carl Herrera,206,97,University of Houston,1966,Trinidad,Trinidad and Tobago
Carl Henry,198,92,University of Kansas,1960,Hollis,Oklahoma
Carl Braun,196,81,Colgate University,1927,Brooklyn,New York
Carl Bailey,213,95,Tuskegee University,1958,Birmingham,Alabama
Caris LeVert,201,92,University of Michigan,1994,Columbus,Ohio
Carey Scurry,201,85,Long Island University,1962,Brooklyn,New York
Campy Russell,196,98,University of Michigan,1944,Chicago,Illinois
Cameron Payne,190,83,Murray State University,1994,Memphis,Tennessee
Cameron Bairstow,206,113,University of New Mexico,1990,Brisbane,Australia
Calvin Natt,198,99,University of Louisiana at Monroe,1957,Monroe,Louisiana
Calvin Murphy*,175,74,Niagara University,1948,Norwalk,Connecticut
Calvin Garrett,201,86,Oral Roberts University,1956,Parsons,Tennessee
Calvin Booth,211,104,Pennsylvania State University,1976,Reynoldsburg,Ohio
Caldwell Jones,211,98,Albany State University,1950,McGehee,Arkansas
Calbert Cheaney,201,94,Indiana University,1971,Evansville,Indiana
Cal Ramsey,193,90,New York University,1937,Selma,Alabama
Cal Christensen,196,95,University of Toledo,1927,,
Cal Bowdler,208,111,Old Dominion University,1977,Sharps,Virginia
C.J. Wilcox,203,90,,1995,,
C.J. Watson,211,117,,1984,,
C.J. Miles,185,79,,1983,,
C.J. McCollum,190,86,,1991,,
C.J. Kupec,190,92,,1953,,
Byron Scott,190,88,Arizona State University,1961,Ogden,Utah
Byron Mullens,213,124,Ohio State University,1989,Canal Winchester,Ohio
Byron Irvin,196,86,University of Missouri,1966,LaGrange,Illinois
Byron Houston,196,113,Oklahoma State University,1969,Watonga,Kansas
Byron Dinkins,185,77,University of North Carolina at Charlotte,1967,Charlotte,North Carolina
Byron Beck,206,102,University of Denver,1945,Ellensburg,Washington
Butch Van,183,77,,1922,,
Butch Lee,183,83,Marquette University,1956,Santurce,Puerto Rico
Butch Graves,190,90,Yale University,1962,Scarsdale,New York
Butch Feher,193,83,Vanderbilt University,1954,Flint,Michigan
Butch Carter,196,81,Indiana University,1958,Springfield,Ohio
Butch Beard,190,83,University of Louisville,1947,Hardinsburg,Kentucky
Buddy Jeannette*,180,79,Washington & Jefferson College,1917,New Kensington,Pennsylvania
Buddy Hield,193,97,University of Oklahoma,1993,Freeport,Bahamas
Bud Stallworth,196,86,University of Kansas,1950,Hartselle,Alabama
Bud Olsen,203,99,University of Louisville,1940,,
Bud Ogden,198,97,Santa Clara University,1946,San Luis Obispo,California
Bud Koper,198,95,Oklahoma City University,1942,Rocky,Oklahoma
Bud Grant,190,88,University of Minnesota,1927,Superior,Wisconsin
Bud Acton,198,95,Hillsdale College,1942,,
Bucky McConnell,178,77,Marshall University,1928,,
Bucky Bockhorn,193,90,University of Dayton,1933,Campbell Hill,Illinois
Buck Williams,203,97,University of Maryland,1960,Rocky Mount,North Carolina
Buck Johnson,201,86,University of Alabama,1964,Birmingham,Alabama
Bubba Wilson,190,79,Western Carolina University,1955,Gastonia,North Carolina
Bubba Wells,196,104,Austin Peay State University,1974,Russellville,Kentucky
Bryon Russell,201,102,"California State University, Long Beach",1970,San Bernardino,California
Bryn Forbes,190,86,Michigan State University,1993,Lansing,Michigan
Bryce Drew,188,83,Valparaiso University,1974,Baton Rouge,Louisiana
Bryce Dejean-Jones,198,94,Iowa State University,1992,Los Angeles,California
Bryce Cotton,185,74,Providence College,1992,Tucson,Arizona
Bryant Stith,196,94,University of Virginia,1970,Emporia,Virginia
Bryant Reeves,213,124,Oklahoma State University,1973,Fort Smith,Arkansas
Bryan Warrick,196,88,Saint Joseph's University,1959,Moses Lake,Washington
Bruno Sundov,218,99,,1980,Split,Croatia
Bruno Caboclo,206,98,,1995,Osasco,Brazil
Bruce Seals,203,95,Xavier University of Louisiana,1953,New Orleans,Louisiana
Bruce Kuczenski,208,104,University of Connecticut,1961,Bristol,Connecticut
Bruce Hale,185,77,Santa Clara University,1918,Medford,Oregon
Bruce Flowers,203,102,University of Notre Dame,1957,Rochester,New York
Bruce Douglas,190,88,University of Illinois at Urbana-Champaign,1964,Quincy,Illinois
Bruce Bowen,201,83,"California State University, Fullerton",1971,Merced,California
Brooks Thompson,193,87,Oklahoma State University,1970,Dallas,Texas
Brook Steppe,196,88,Georgia Institute of Technology,1959,Chapel Hill,North Carolina
Brook Lopez,213,124,Stanford University,1988,North Hollywood,California
Britton Johnsen,208,95,University of Utah,1979,Salt Lake City,Utah
Brice Johnson,208,95,University of Utah,1979,Salt Lake City,Utah
Briante Weber,188,74,Virginia Commonwealth University,1992,Chesapeake,Virginia
Brian Winters,193,83,University of South Carolina,1952,Rockaway,New York
Brian Taylor,188,83,Princeton University,1951,Perth Amboy,New Jersey
Brian Skinner,206,115,Baylor University,1976,Temple,Texas
Brian Shaw,198,86,"University of California, Santa Barbara",1966,Oakland,California
Brian Scalabrine,206,109,University of Southern California,1978,Long Beach,California
Brian Rowsom,206,99,University of North Carolina at Wilmington,1965,Newark,New Jersey
Brian Roberts,185,78,University of Dayton,1985,Toledo,Ohio
Brian Quinnett,203,106,Washington State University,1966,Pullman,Washington
Brian Oliver,193,95,Georgia Institute of Technology,1968,Chicago,Illinois
Brian Martin,206,96,University of Kansas,1962,Fort Smith,Arkansas
Brian Howard,198,92,North Carolina State University,1967,Winston-Salem,North Carolina
Brian Heaney,188,81,Acadia University,1946,,
Brian Grant,206,115,Xavier University,1972,Columbus,Ohio
Brian Evans,203,99,Indiana University,1973,Rockford,Illinois
Brian Davis,190,81,University of Maryland,1955,Monaca,Pennsylvania
Brian Cook,206,106,University of Illinois at Urbana-Champaign,1980,Lincoln,Illinois
Brian Cardinal,203,111,Purdue University,1977,Tolono,Illinois
Brevin Knight,178,78,Stanford University,1975,Livingston,New Jersey
Brett Vroman,213,99,"University of Nevada, Las Vegas",1955,Hollywood,California
Brett Szabo,211,104,Augustana College (SD),1968,Postville,Iowa
Brent Scott,208,113,Rice University,1971,Jackson,Michigan
Brent Price,185,74,University of Oklahoma,1968,Shawnee,Oklahoma
Brent Barry,198,83,Oregon State University,1971,Hempstead,New York
Brendan McCann,188,80,St. Bonaventure University,1935,Brooklyn,New York
Brendan Haywood,213,121,University of North Carolina,1979,New York,New York
Brant Weidner,206,104,College of William & Mary,1960,Orefield,Pennsylvania
Brandon Williams,198,97,Davidson College,1975,Collinston,Louisiana
Brandon Rush,198,99,University of Kansas,1985,Kansas City,Missouri
Brandon Roy,198,97,University of Washington,1984,Seattle,Washington
Brandon Knight,178,78,Stanford University,1975,Livingston,New Jersey
Brandon Jennings,185,77,,1989,Compton,California
Brandon Ingram,206,86,Duke University,1997,Kinston,North Carolina
Brandon Hunter,201,117,Ohio University,1980,Cincinnati,Ohio
Brandon Davies,208,108,Brigham Young University,1991,Philadelphia,Pennsylvania
Brandon Bass,203,113,Louisiana State University,1985,Baton Rouge,Louisiana
Brandon Armstrong,196,85,Pepperdine University,1980,San Francisco,California
Brandin Knight,178,78,Stanford University,1975,Livingston,New Jersey
Branden Dawson,198,102,Michigan State University,1993,Gary,Indiana
Brandan Wright,211,102,"University of California, Los Angeles",1962,Hollywood,California
Brady Walker,198,92,Brigham Young University,1921,Provo,Utah
Bradley Beal,196,93,University of Florida,1993,St. Louis,Missouri
Brad Wright,211,102,"University of California, Los Angeles",1962,Hollywood,California
Brad Sellers,213,95,Ohio State University,1962,Warrensville Heights,Ohio
Brad Miller,211,110,Purdue University,1976,Fort Wayne,Indiana
Brad Lohaus,211,104,University of Iowa,1964,New Ulm,Minnesota
Brad Holland,190,81,"University of California, Los Angeles",1956,Billings,Montana
Brad Davis,190,81,University of Maryland,1955,Monaca,Pennsylvania
Brad Daugherty,213,111,University of North Carolina,1965,Black Mountain,North Carolina
Brad Branson,208,99,Southern Methodist University,1958,Harvey,Illinois
Bracey Wright,211,102,"University of California, Los Angeles",1962,Hollywood,California
Bostjan Nachbar,206,100,,1980,Slovenj Gradec,Slovenia
Boris Nachamkin,198,95,New York University,1933,,
Boris Diaw,203,113,,1982,Cormeille-en-Parisis,France
Boo Ellis,196,83,Niagara University,1936,,
Bonzi Wells,196,95,Ball State University,1976,Muncie,Indiana
Boniface N'Dong,213,89,,1977,Dakar,Senegal
Bones McKinney,198,83,University of North Carolina,1919,Lowlands,North Carolina
Bojan Bogdanovic,198,92,,1992,Belgrade,Serbia
Bobby Wilson,193,83,West Virginia State University,1926,,
Bobby Watson,183,72,University of Kentucky,1930,Central City,Kentucky
Bobby Washington,180,79,Eastern Kentucky University,1947,,
Bobby Wanzer*,183,77,Seton Hall University,1921,Brooklyn,New York
Bobby Smith,193,86,West Virginia University,1937,,
Bobby Simmons,201,95,DePaul University,1980,Chicago,Illinois
Bobby Portis,211,104,University of Arkansas,1995,Little Rock,Arkansas
Bobby Phills,196,95,Southern University and A&M College,1969,Baton Rouge,Louisiana
Bobby Lewis,190,79,University of North Carolina,1945,,
Bobby Jones,206,95,University of North Carolina,1951,Charlotte,North Carolina
Bobby Jackson,185,83,University of Minnesota,1973,East Spencer,North Carolina
Bobby Hurley,183,74,Duke University,1971,Jersey City,New Jersey
Bobby Cook,178,70,University of Wisconsin,1923,,
Bobby Cattage,206,113,Auburn University,1958,Huntsville,Alabama
Bobby Brown,193,92,Miami University,1923,Versailles,Ohio
Boban Marjanovic,221,131,,1988,Zajecar,Serbia
Bob Wood,175,70,Northern Illinois University,1921,,
Bob Wilson,193,83,West Virginia State University,1926,,
Bob Williams,198,104,Florida Agricultural and Mechanical University,1931,,
Bob Wilkerson,198,88,Indiana University,1954,Anderson,Indiana
Bob Wiesenhahn,193,97,University of Cincinnati,1938,,
Bob Weiss,188,81,Pennsylvania State University,1942,Easton,Pennsylvania
Bob Warlick,196,90,Pepperdine University,1941,Hickory,North Carolina
Bob Verga,185,86,Duke University,1945,Neptune,New Jersey
Bob Tough,183,83,St. John's University,1920,New York,New York
Bob Thornton,208,102,"University of California, Irvine",1962,Los Angeles,California
Bob Sura,196,90,Florida State University,1973,Wilkes-Barre,Pennsylvania
Bob Sims,196,99,Pepperdine University,1938,,
Bob Schafer,190,88,Villanova University,1935,,
Bob Santini,196,86,Iona College,1935,Bronx,New York
Bob Rule,206,99,Colorado State University,1944,Riverside,California
Bob Royer,178,70,Indiana State University,1927,,
Bob Riley,206,106,Mount St. Mary's University,1948,,
Bob Quick,196,97,Xavier University,1946,Thornton,Mississippi
Bob Priddy,190,86,New Mexico State University,1930,,
Bob Portman,196,90,Creighton University,1947,San Francisco,California
Bob Pettit*,206,92,Louisiana State University,1932,Baton Rouge,Louisiana
Bob Peterson,196,95,University of Oregon,1932,San Mateo,California
Bob Nash,203,88,University of Hawaii,1950,Hartford,Connecticut
Bob Naber,190,83,University of Louisville,1929,,
Bob Miller,208,104,University of Cincinnati,1956,Louisville,Kentucky
Bob McNeill,185,77,Saint Joseph's University,1938,Philadelphia,Pennsylvania
Bob McCann,198,110,Morehead State University,1964,Morristown,New Jersey
Bob McAdoo*,206,95,University of North Carolina,1951,Greensboro,North Carolina
Bob Martin,213,113,University of Minnesota,1969,Minneapolis,Minnesota
Bob Love,203,97,Southern University and A&M College,1942,Bastrop,Louisiana
Bob Lochmueller,196,83,University of Louisville,1927,,
Bob Lavoy,201,83,Western Kentucky University,1926,,
Bob Lanier*,211,113,St. Bonaventure University,1948,Buffalo,New York
Bob Knight,188,83,,1929,,
Bob Kinney,198,97,Rice University,1920,Fort Scott,Kansas
Bob Kauffman,203,108,Guilford College,1946,Brooklyn,New York
Bob Houbregs*,201,95,University of Washington,1932,Vancouver,Canada
Bob Hopkins,203,92,Grambling State University,1934,Jonesboro,Louisiana
Bob Hogsett,201,104,University of Tennessee,1941,,
Bob Harrison,201,88,Oklahoma State University,1927,Linden,Tennessee
Bob Harris,201,88,Oklahoma State University,1927,Linden,Tennessee
Bob Hansen,198,86,University of Iowa,1961,Des Moines,Iowa
Bob Gross,198,90,"California State University, Long Beach",1953,San Pedro,California
Bob Greacen,201,93,Rutgers University,1947,,
Bob Ferry,203,104,Saint Louis University,1937,St. Louis,Missouri
Bob Feerick,190,86,Santa Clara University,1920,San Francisco,California
Bob Evans,188,79,Butler University,1925,Indianapolis,Indiana
Bob Elliott,206,102,University of Arizona,1955,Ann Arbor,Michigan
Bob Duffy,193,79,Tulane University,1922,,
Bob Donham,188,86,Ohio State University,1926,,
Bob Doll,196,88,University of Colorado,1919,Steamboat Springs,Colorado
Bob Davis,201,97,Weber State University,1950,,
Bob Davies*,185,79,Seton Hall University,1920,Harrisburg,Pennsylvania
Bob Dandridge,198,88,Norfolk State University,1947,Richmond,Virginia
Bob Cousy*,185,79,College of the Holy Cross,1928,New York,New York
Bob Christian,208,115,Grambling State University,1946,,
Bob Carrington,198,88,Boston College,1953,Brookline,Massachusetts
Bob Carpenter,196,90,East Texas State University,1917,,
Bob Carney,190,77,Bradley University,1932,,
Bob Burrow,201,103,University of Kentucky,1934,Malvern,Arkansas
Bob Brown,193,92,Miami University,1923,Versailles,Ohio
Bob Brannum,196,97,Michigan State University,1925,,
Bob Boozer,203,97,Kansas State University,1937,Omaha,Nebraska
Bob Bigelow,201,97,University of Pennsylvania,1953,Boston,Massachusetts
Bob Arnzen,196,92,University of Notre Dame,1947,Covington,Kentucky
Bob Armstrong,203,99,Michigan State University,1933,Detroit,Michigan
Bob Anderegg,190,90,Michigan State University,1937,Monroe,Wisconsin
Bob Allen,206,92,Marshall University,1946,,
Bo Outlaw,203,95,University of Houston,1971,San Antonio,Texas
Bo Lamar,185,81,University of Louisiana at Lafayette,1951,Columbus,Ohio
Bo Kimble,193,86,Loyola Marymount University,1966,Philadelphia,Pennsylvania
Bo Erias,190,99,Niagara University,1932,Astoria,New York
Bo Ellis,196,83,Niagara University,1936,,
Blue Edwards,193,90,East Carolina University,1965,Washington,District of Columbia
Blake Griffin,208,113,University of Oklahoma,1989,Oklahoma City,Oklahoma
Blake Ahearn,188,86,Missouri State University,1984,St. Louis,Missouri
